"","date","country","temporary_rate"
"256",2003-01-01,"turkiye",NA
"257",2004-01-01,"croatia",NA
"258",2004-01-01,"italy",NA
"259",2004-01-01,"cyprus",NA
"260",2004-01-01,"latvia",NA
"261",2004-01-01,"lithuania",NA
"262",2004-01-01,"luxembourg",NA
"263",2004-01-01,"hungary",NA
"264",2004-01-01,"malta",NA
"265",2004-01-01,"netherlands",NA
"266",2004-01-01,"austria",NA
"267",2004-01-01,"poland",NA
"268",2004-01-01,"portugal",NA
"269",2004-01-01,"romania",NA
"270",2004-01-01,"slovenia",NA
"271",2004-01-01,"slovakia",NA
"272",2004-01-01,"finland",NA
"273",2004-01-01,"sweden",NA
"274",2004-01-01,"iceland",NA
"275",2004-01-01,"norway",NA
"276",2004-01-01,"switzerland",NA
"277",2004-01-01,"bosnia_and_herzegovina",NA
"278",2004-01-01,"montenegro",NA
"279",2004-01-01,"north_macedonia",NA
"280",2004-01-01,"serbia",NA
"281",2004-01-01,"turkiye",NA
"282",2005-01-01,"croatia",NA
"283",2005-01-01,"italy",NA
"284",2005-01-01,"cyprus",NA
"285",2005-01-01,"latvia",NA
"286",2005-01-01,"lithuania",NA
"287",2005-01-01,"luxembourg",NA
"288",2005-01-01,"hungary",NA
"289",2005-01-01,"malta",NA
"290",2005-01-01,"netherlands",NA
"291",2005-01-01,"austria",NA
"292",2005-01-01,"poland",NA
"293",2005-01-01,"portugal",NA
"294",2005-01-01,"romania",NA
"295",2005-01-01,"slovenia",NA
"296",2005-01-01,"slovakia",NA
"297",2005-01-01,"finland",NA
"298",2005-01-01,"sweden",NA
"299",2005-01-01,"iceland",NA
"300",2005-01-01,"norway",NA
"301",2005-01-01,"switzerland",NA
"302",2005-01-01,"bosnia_and_herzegovina",NA
"303",2005-01-01,"montenegro",NA
"304",2005-01-01,"north_macedonia",NA
"305",2005-01-01,"serbia",NA
"306",2005-01-01,"turkiye",NA
"307",2006-01-01,"croatia",NA
"308",2006-01-01,"italy",NA
"309",2006-01-01,"cyprus",NA
"310",2006-01-01,"latvia",NA
"311",2006-01-01,"lithuania",NA
"312",2006-01-01,"luxembourg",NA
"313",2006-01-01,"hungary",NA
"314",2006-01-01,"malta",NA
"315",2006-01-01,"netherlands",NA
"316",2006-01-01,"austria",NA
"317",2006-01-01,"poland",NA
"318",2006-01-01,"portugal",NA
"319",2006-01-01,"romania",NA
"320",2006-01-01,"slovenia",NA
"321",2006-01-01,"slovakia",NA
"322",2006-01-01,"finland",NA
"323",2006-01-01,"sweden",NA
"324",2006-01-01,"iceland",NA
"325",2006-01-01,"norway",NA
"326",2006-01-01,"switzerland",NA
"327",2006-01-01,"bosnia_and_herzegovina",NA
"328",2006-01-01,"montenegro",NA
"329",2006-01-01,"north_macedonia",NA
"330",2006-01-01,"serbia",NA
"331",2006-01-01,"turkiye",NA
"332",2007-01-01,"croatia",NA
"333",2007-01-01,"italy",NA
"334",2007-01-01,"cyprus",NA
"335",2007-01-01,"latvia",NA
"336",2007-01-01,"lithuania",NA
"337",2007-01-01,"luxembourg",NA
"338",2007-01-01,"hungary",NA
"339",2007-01-01,"malta",NA
"340",2007-01-01,"netherlands",NA
"341",2007-01-01,"austria",NA
"342",2007-01-01,"poland",NA
"343",2007-01-01,"portugal",NA
"344",2007-01-01,"romania",NA
"345",2007-01-01,"slovenia",NA
"346",2007-01-01,"slovakia",NA
"347",2007-01-01,"finland",NA
"348",2007-01-01,"sweden",NA
"349",2007-01-01,"iceland",NA
"350",2007-01-01,"norway",NA
"351",2007-01-01,"switzerland",NA
"352",2007-01-01,"bosnia_and_herzegovina",NA
"353",2007-01-01,"montenegro",NA
"354",2007-01-01,"north_macedonia",NA
"355",2007-01-01,"serbia",NA
"356",2007-01-01,"turkiye",NA
"357",2008-01-01,"croatia",NA
"358",2008-01-01,"italy",NA
"359",2008-01-01,"cyprus",NA
"360",2008-01-01,"latvia",NA
"361",2008-01-01,"lithuania",NA
"362",2008-01-01,"luxembourg",NA
"363",2008-01-01,"hungary",NA
"364",2008-01-01,"malta",NA
"365",2008-01-01,"netherlands",NA
"366",2008-01-01,"austria",NA
"367",2008-01-01,"poland",NA
"368",2008-01-01,"portugal",NA
"369",2008-01-01,"romania",NA
"370",2008-01-01,"slovenia",NA
"371",2008-01-01,"slovakia",NA
"372",2008-01-01,"finland",NA
"373",2008-01-01,"sweden",25.5
"374",2008-01-01,"iceland",NA
"375",2008-01-01,"norway",NA
"376",2008-01-01,"switzerland",NA
"377",2008-01-01,"bosnia_and_herzegovina",NA
"378",2008-01-01,"montenegro",NA
"379",2008-01-01,"north_macedonia",NA
"380",2008-01-01,"serbia",NA
"381",2008-01-01,"turkiye",NA
"382",2009-01-01,"croatia",6.5
"383",2009-01-01,"italy",14.2
"384",2009-01-01,"cyprus",7.5
"385",2009-01-01,"latvia",7
"386",2009-01-01,"lithuania",7.9
"387",2009-01-01,"luxembourg",17.6
"388",2009-01-01,"hungary",5
"389",2009-01-01,"malta",11
"390",2009-01-01,"netherlands",37.4
"391",2009-01-01,"austria",24.7
"392",2009-01-01,"poland",7.7
"393",2009-01-01,"portugal",8.5
"394",2009-01-01,"romania",5.7
"395",2009-01-01,"slovenia",10.5
"396",2009-01-01,"slovakia",2.4
"397",2009-01-01,"finland",14.1
"398",2009-01-01,"sweden",25.7
"399",2009-01-01,"iceland",23
"400",2009-01-01,"norway",27.2
"401",2009-01-01,"switzerland",NA
"402",2009-01-01,"bosnia_and_herzegovina",NA
"403",2009-01-01,"montenegro",NA
"404",2009-01-01,"north_macedonia",5.3
"405",2009-01-01,"serbia",NA
"406",2009-01-01,"turkiye",10.6
"407",2010-01-01,"croatia",7
"408",2010-01-01,"italy",14.9
"409",2010-01-01,"cyprus",8.3
"410",2010-01-01,"latvia",7.9
"411",2010-01-01,"lithuania",7.8
"412",2010-01-01,"luxembourg",17.4
"413",2010-01-01,"hungary",5.3
"414",2010-01-01,"malta",11.6
"415",2010-01-01,"netherlands",38.4
"416",2010-01-01,"austria",25.3
"417",2010-01-01,"poland",7.7
"418",2010-01-01,"portugal",8.4
"419",2010-01-01,"romania",6.4
"420",2010-01-01,"slovenia",11.3
"421",2010-01-01,"slovakia",2.7
"422",2010-01-01,"finland",14.6
"423",2010-01-01,"sweden",25.6
"424",2010-01-01,"iceland",22.4
"425",2010-01-01,"norway",27.1
"426",2010-01-01,"switzerland",34
"427",2010-01-01,"bosnia_and_herzegovina",NA
"428",2010-01-01,"montenegro",NA
"429",2010-01-01,"north_macedonia",5.6
"430",2010-01-01,"serbia",NA
"431",2010-01-01,"turkiye",11.1
"432",2011-01-01,"croatia",7.2
"433",2011-01-01,"italy",15.3
"434",2011-01-01,"cyprus",9
"435",2011-01-01,"latvia",7.5
"436",2011-01-01,"lithuania",8.3
"437",2011-01-01,"luxembourg",18
"438",2011-01-01,"hungary",6.2
"439",2011-01-01,"malta",12.6
"440",2011-01-01,"netherlands",38.6
"441",2011-01-01,"austria",25.3
"442",2011-01-01,"poland",7.3
"443",2011-01-01,"portugal",8.4
"444",2011-01-01,"romania",6.2
"445",2011-01-01,"slovenia",10.4
"446",2011-01-01,"slovakia",2.8
"447",2011-01-01,"finland",14.8
"448",2011-01-01,"sweden",25
"449",2011-01-01,"iceland",20.5
"450",2011-01-01,"norway",26.7
"451",2011-01-01,"switzerland",34
"452",2011-01-01,"bosnia_and_herzegovina",NA
"453",2011-01-01,"montenegro",4.2
"454",2011-01-01,"north_macedonia",6
"455",2011-01-01,"serbia",6.7
"456",2011-01-01,"turkiye",11.3
"457",2012-01-01,"croatia",5.6
"458",2012-01-01,"italy",16.9
"459",2012-01-01,"cyprus",9.7
"460",2012-01-01,"latvia",7.6
"461",2012-01-01,"lithuania",8.9
"462",2012-01-01,"luxembourg",18.5
"463",2012-01-01,"hungary",6.5
"464",2012-01-01,"malta",13.2
"465",2012-01-01,"netherlands",39.3
"466",2012-01-01,"austria",26.1
"467",2012-01-01,"poland",7.2
"468",2012-01-01,"portugal",9.2
"469",2012-01-01,"romania",6
"470",2012-01-01,"slovenia",10
"471",2012-01-01,"slovakia",2.8
"472",2012-01-01,"finland",14.9
"473",2012-01-01,"sweden",24.8
"474",2012-01-01,"iceland",20.7
"475",2012-01-01,"norway",26.6
"476",2012-01-01,"switzerland",34.7
"477",2012-01-01,"bosnia_and_herzegovina",NA
"478",2012-01-01,"montenegro",4.2
"479",2012-01-01,"north_macedonia",6.1
"480",2012-01-01,"serbia",6.6
"481",2012-01-01,"turkiye",11.5
"482",2013-01-01,"croatia",5.3
"483",2013-01-01,"italy",17.8
"484",2013-01-01,"cyprus",11.9
"485",2013-01-01,"latvia",6.4
"486",2013-01-01,"lithuania",8.4
"487",2013-01-01,"luxembourg",18.7
"488",2013-01-01,"hungary",6.2
"489",2013-01-01,"malta",14
"490",2013-01-01,"netherlands",40
"491",2013-01-01,"austria",26.9
"492",2013-01-01,"poland",7.1
"493",2013-01-01,"portugal",9.4
"494",2013-01-01,"romania",5.9
"495",2013-01-01,"slovenia",10.2
"496",2013-01-01,"slovakia",3.2
"497",2013-01-01,"finland",14.8
"498",2013-01-01,"sweden",24.5
"499",2013-01-01,"iceland",20.8
"500",2013-01-01,"norway",26.4
"501",2013-01-01,"switzerland",35.1
"502",2013-01-01,"bosnia_and_herzegovina",NA
"503",2013-01-01,"montenegro",3.1
"504",2013-01-01,"north_macedonia",4.4
"505",2013-01-01,"serbia",7.5
"506",2013-01-01,"turkiye",11.9
"507",2014-01-01,"croatia",5.4
"508",2014-01-01,"italy",18.3
"509",2014-01-01,"cyprus",13.5
"510",2014-01-01,"latvia",5.8
"511",2014-01-01,"lithuania",8.6
"512",2014-01-01,"luxembourg",18.4
"513",2014-01-01,"hungary",5.8
"514",2014-01-01,"malta",15.3
"515",2014-01-01,"netherlands",39.7
"516",2014-01-01,"austria",27.9
"517",2014-01-01,"poland",7.1
"518",2014-01-01,"portugal",8.7
"519",2014-01-01,"romania",5.7
"520",2014-01-01,"slovenia",11
"521",2014-01-01,"slovakia",3.6
"522",2014-01-01,"finland",14.9
"523",2014-01-01,"sweden",24.4
"524",2014-01-01,"iceland",22.9
"525",2014-01-01,"norway",25.1
"526",2014-01-01,"switzerland",36.4
"527",2014-01-01,"bosnia_and_herzegovina",NA
"528",2014-01-01,"montenegro",5.8
"529",2014-01-01,"north_macedonia",5.8
"530",2014-01-01,"serbia",8.1
"531",2014-01-01,"turkiye",11.1
"532",2015-01-01,"croatia",5.9
"533",2015-01-01,"italy",18.4
"534",2015-01-01,"cyprus",13
"535",2015-01-01,"latvia",6.1
"536",2015-01-01,"lithuania",7.6
"537",2015-01-01,"luxembourg",18.4
"538",2015-01-01,"hungary",5.5
"539",2015-01-01,"malta",14.3
"540",2015-01-01,"netherlands",40.2
"541",2015-01-01,"austria",28.3
"542",2015-01-01,"poland",6.8
"543",2015-01-01,"portugal",8.8
"544",2015-01-01,"romania",5.7
"545",2015-01-01,"slovenia",11.1
"546",2015-01-01,"slovakia",4.1
"547",2015-01-01,"finland",14.9
"548",2015-01-01,"sweden",24.1
"549",2015-01-01,"iceland",23.3
"550",2015-01-01,"norway",25.5
"551",2015-01-01,"switzerland",36.5
"552",2015-01-01,"bosnia_and_herzegovina",NA
"553",2015-01-01,"montenegro",5.8
"554",2015-01-01,"north_macedonia",4.2
"555",2015-01-01,"serbia",7.9
"556",2015-01-01,"turkiye",10.3
"557",2016-01-01,"croatia",5.7
"558",2016-01-01,"italy",18.7
"559",2016-01-01,"cyprus",13.4
"560",2016-01-01,"latvia",7.2
"561",2016-01-01,"lithuania",7.1
"562",2016-01-01,"luxembourg",19.2
"563",2016-01-01,"hungary",4.7
"564",2016-01-01,"malta",13.9
"565",2016-01-01,"netherlands",40
"566",2016-01-01,"austria",28.8
"567",2016-01-01,"poland",6.4
"568",2016-01-01,"portugal",8.6
"569",2016-01-01,"romania",4.8
"570",2016-01-01,"slovenia",10.2
"571",2016-01-01,"slovakia",4.1
"572",2016-01-01,"finland",15.8
"573",2016-01-01,"sweden",23.6
"574",2016-01-01,"iceland",24
"575",2016-01-01,"norway",25.4
"576",2016-01-01,"switzerland",36.9
"577",2016-01-01,"bosnia_and_herzegovina",NA
"578",2016-01-01,"montenegro",4.5
"579",2016-01-01,"north_macedonia",4.7
"580",2016-01-01,"serbia",8.4
"581",2016-01-01,"turkiye",9.9
"582",2017-01-01,"croatia",4.9
"583",2017-01-01,"italy",18.7
"584",2017-01-01,"cyprus",12.2
"585",2017-01-01,"latvia",6.5
"586",2017-01-01,"lithuania",7.6
"587",2017-01-01,"luxembourg",19.5
"588",2017-01-01,"hungary",4.2
"589",2017-01-01,"malta",13.7
"590",2017-01-01,"netherlands",40.4
"591",2017-01-01,"austria",28.9
"592",2017-01-01,"poland",6.6
"593",2017-01-01,"portugal",8.1
"594",2017-01-01,"romania",4.3
"595",2017-01-01,"slovenia",11.3
"596",2017-01-01,"slovakia",4.2
"597",2017-01-01,"finland",15.9
"598",2017-01-01,"sweden",23
"599",2017-01-01,"iceland",23.1
"600",2017-01-01,"norway",24.9
"601",2017-01-01,"switzerland",37
"602",2017-01-01,"bosnia_and_herzegovina",NA
"603",2017-01-01,"montenegro",5.4
"604",2017-01-01,"north_macedonia",4.1
"605",2017-01-01,"serbia",8
"606",2017-01-01,"turkiye",10
"607",2018-01-01,"croatia",5.2
"608",2018-01-01,"italy",18.5
"609",2018-01-01,"cyprus",10.8
"610",2018-01-01,"latvia",6.1
"611",2018-01-01,"lithuania",7.1
"612",2018-01-01,"luxembourg",17.7
"613",2018-01-01,"hungary",4.1
"614",2018-01-01,"malta",13.1
"615",2018-01-01,"netherlands",40.8
"616",2018-01-01,"austria",28.3
"617",2018-01-01,"poland",6.5
"618",2018-01-01,"portugal",7.6
"619",2018-01-01,"romania",4.1
"620",2018-01-01,"slovenia",10.7
"621",2018-01-01,"slovakia",3.5
"622",2018-01-01,"finland",16
"623",2018-01-01,"sweden",22.4
"624",2018-01-01,"iceland",21.5
"625",2018-01-01,"norway",25.2
"626",2018-01-01,"switzerland",37.4
"627",2018-01-01,"bosnia_and_herzegovina",NA
"628",2018-01-01,"montenegro",4.8
"629",2018-01-01,"north_macedonia",3.4
"630",2018-01-01,"serbia",7
"631",2018-01-01,"turkiye",10.4
"632",2019-01-01,"croatia",4.8
"633",2019-01-01,"italy",18.9
"634",2019-01-01,"cyprus",10.2
"635",2019-01-01,"latvia",7.1
"636",2019-01-01,"lithuania",6.4
"637",2019-01-01,"luxembourg",16.9
"638",2019-01-01,"hungary",4.2
"639",2019-01-01,"malta",12.1
"640",2019-01-01,"netherlands",41.1
"641",2019-01-01,"austria",28.2
"642",2019-01-01,"poland",6.2
"643",2019-01-01,"portugal",7.7
"644",2019-01-01,"romania",3.8
"645",2019-01-01,"slovenia",9.3
"646",2019-01-01,"slovakia",3.2
"647",2019-01-01,"finland",16.4
"648",2019-01-01,"sweden",22.3
"649",2019-01-01,"iceland",21.5
"650",2019-01-01,"norway",25.3
"651",2019-01-01,"switzerland",38
"652",2019-01-01,"bosnia_and_herzegovina",NA
"653",2019-01-01,"montenegro",4.5
"654",2019-01-01,"north_macedonia",4.1
"655",2019-01-01,"serbia",7.3
"656",2019-01-01,"turkiye",9.9
"657",2020-01-01,"croatia",4.5
"658",2020-01-01,"italy",18.3
"659",2020-01-01,"cyprus",9.9
"660",2020-01-01,"latvia",7.6
"661",2020-01-01,"lithuania",6.1
"662",2020-01-01,"luxembourg",18
"663",2020-01-01,"hungary",4.6
"664",2020-01-01,"malta",11.1
"665",2020-01-01,"netherlands",41.6
"666",2020-01-01,"austria",28.1
"667",2020-01-01,"poland",5.9
"668",2020-01-01,"portugal",7.2
"669",2020-01-01,"romania",3.7
"670",2020-01-01,"slovenia",9.1
"671",2020-01-01,"slovakia",3.2
"672",2020-01-01,"finland",15.6
"673",2020-01-01,"sweden",22.1
"674",2020-01-01,"iceland",22.8
"675",2020-01-01,"norway",24.7
"676",2020-01-01,"switzerland",38.2
"677",2020-01-01,"bosnia_and_herzegovina",NA
"678",2020-01-01,"montenegro",3.7
"679",2020-01-01,"north_macedonia",3.7
"680",2020-01-01,"serbia",6.8
"681",2020-01-01,"turkiye",11.8
"682",2021-01-01,"croatia",4.7
"683",2021-01-01,"italy",18.2
"684",2021-01-01,"cyprus",10.3
"685",2021-01-01,"latvia",7.8
"686",2021-01-01,"lithuania",6
"687",2021-01-01,"luxembourg",18
"688",2021-01-01,"hungary",4.6
"689",2021-01-01,"malta",10.7
"690",2021-01-01,"netherlands",42.2
"691",2021-01-01,"austria",28.7
"692",2021-01-01,"poland",5.3
"693",2021-01-01,"portugal",6.9
"694",2021-01-01,"romania",3.7
"695",2021-01-01,"slovenia",9.2
"696",2021-01-01,"slovakia",3.1
"697",2021-01-01,"finland",16.9
"698",2021-01-01,"sweden",20.4
"699",2021-01-01,"iceland",21.9
"700",2021-01-01,"norway",24.8
"701",2021-01-01,"switzerland",37.9
"702",2021-01-01,"bosnia_and_herzegovina",3.1
"703",2021-01-01,"montenegro",NA
"704",2021-01-01,"north_macedonia",NA
"705",2021-01-01,"serbia",6.6
"706",2021-01-01,"turkiye",9.5
"707",2022-01-01,"croatia",4.7
"708",2022-01-01,"italy",17.9
"709",2022-01-01,"cyprus",9.5
"710",2022-01-01,"latvia",6.6
"711",2022-01-01,"lithuania",5.7
"712",2022-01-01,"luxembourg",18.2
"713",2022-01-01,"hungary",4.2
"714",2022-01-01,"malta",10.8
"715",2022-01-01,"netherlands",42.2
"716",2022-01-01,"austria",29.7
"717",2022-01-01,"poland",5.4
"718",2022-01-01,"portugal",6.8
"719",2022-01-01,"romania",3.3
"720",2022-01-01,"slovenia",8.7
"721",2022-01-01,"slovakia",3.1
"722",2022-01-01,"finland",16.9
"723",2022-01-01,"sweden",20.3
"724",2022-01-01,"iceland",22
"725",2022-01-01,"norway",24.4
"726",2022-01-01,"switzerland",37.6
"727",2022-01-01,"bosnia_and_herzegovina",3
